date,time edt,temp c,ph,do (mg/l),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (1000cells/ml)
5/10/2022,12:00,14.02,7.93,10.88,2.39,2.55,-0.07,22900
5/10/2022,13:00,13.91,8,10.94,2.68,3.27,-0.08,25200
5/10/2022,14:00,13.78,7.97,10.84,2.91,3.6,-0.13,24600
5/10/2022,15:00,13.84,7.96,10.86,2.91,2.86,-0.06,25200
5/10/2022,16:00,13.81,7.92,10.73,2.94,3.09,-0.12,31000
5/10/2022,17:00,13.88,7.97,10.89,2.93,3.33,-0.1,31700
5/10/2022,18:00,14.19,8.09,11.23,2.66,3.63,-0.05,29600
5/10/2022,19:00,14.24,8.11,11.3,2.59,3.58,-0.07,27600
5/10/2022,20:00,14.06,8,11.04,2.85,4.92,-0.02,24100
5/10/2022,21:00,13.97,7.93,10.9,3,5.59,0.06,25500
5/10/2022,22:00,13.88,7.89,10.79,2.31,7.65,0.03,27100
5/10/2022,23:00,13.81,7.84,10.67,2.63,4.89,0.04,26900
5/11/2022,0:00,13.77,7.84,10.72,2.47,4.53,-0.03,26800
5/11/2022,1:00,13.73,7.82,10.66,2.44,5.63,0.07,30600
5/11/2022,2:00,13.67,7.81,10.66,3.04,5.54,0.03,30600
5/11/2022,3:00,13.59,7.85,10.71,2.62,5.47,0.05,23900
5/11/2022,4:00,13.57,7.83,10.66,2.56,5.52,0.02,22500
5/11/2022,5:00,13.58,7.83,10.67,2.41,4.74,0.05,22300
5/11/2022,6:00,13.56,7.83,10.64,2.94,5.24,0,26100
5/11/2022,7:00,13.54,7.83,10.66,2.43,4.69,-0.08,26600
5/11/2022,8:00,13.57,7.86,10.73,2.61,3.34,-0.08,23000
5/11/2022,9:00,13.64,7.9,10.83,2.51,5.68,-0.08,21800
5/11/2022,11:00,14.05,8.06,11.15,2.47,2.91,-0.09,20500
5/11/2022,12:00,13.88,7.97,10.97,2.57,2.68,-0.05,21000
5/11/2022,13:00,13.93,8.04,11.11,2.58,3.56,-0.09,23400
5/11/2022,14:00,14,8.11,11.21,2.57,4.05,-0.04,24600
5/11/2022,15:00,14.21,8.25,11.46,2.7,4.38,0,24800
5/11/2022,16:00,14.36,8.28,11.54,2.77,4.61,0.03,25700
5/11/2022,17:00,14.25,8.32,11.59,3.01,4.66,-0.02,26400
5/11/2022,18:00,14.34,8.34,11.61,2.64,4.12,-0.04,26200
5/11/2022,19:00,14.33,8.35,11.64,2.56,4.54,-0.02,25200
5/11/2022,20:00,14.42,8.25,11.44,2.78,4.56,0.01,26400
5/11/2022,21:00,14.66,8.47,11.77,2.44,5.35,0.06,26400
5/11/2022,22:00,14.44,8.24,11.43,2.75,6.2,0.07,22300
5/11/2022,23:00,14.47,8.14,11.26,2.29,5.46,0.07,22300
5/12/2022,0:00,14.08,8.08,11.19,2.48,5.34,0.09,21500
5/12/2022,1:00,14.03,8.03,11.08,3.06,6.39,0.09,21500
5/12/2022,2:00,14.15,7.97,10.92,2.3,5.48,0.03,22400
5/12/2022,3:00,14.15,7.99,10.96,2.18,4.71,0.05,17700
5/12/2022,4:00,14.08,7.97,10.96,2.37,5.86,0.09,19600
5/12/2022,5:00,14.06,7.97,10.94,2.55,6.53,0.09,18700
5/12/2022,6:00,14.09,7.97,10.91,2.38,5.5,0.1,19500
5/12/2022,7:00,14.12,7.97,10.93,2.83,4.6,-0.01,19500
5/12/2022,8:00,14.18,8,11,2.61,5.62,0.02,19100
5/12/2022,9:00,14.25,8,10.96,2.77,7.83,0.06,22900
5/12/2022,10:00,14.17,8.03,11.04,2.37,3.92,0,25000
5/12/2022,11:00,14.43,8.21,11.38,2.6,3.49,-0.05,23800
5/12/2022,12:00,14.55,8.31,11.56,2.57,3.27,-0.03,24100
5/12/2022,13:00,15.32,8.35,11.59,2.39,2.72,-0.01,24600
5/12/2022,14:00,15.24,8.46,11.76,2.49,3.34,-0.02,20700
5/12/2022,15:00,15.73,8.54,11.89,2.66,2.83,-0.04,20700
5/12/2022,16:00,15.8,8.61,12,2.37,3.15,0.04,20200
5/12/2022,17:00,15.76,8.53,11.85,2.66,3.42,0,20900
5/12/2022,18:00,15.69,8.52,11.86,2.7,4.17,0.03,23600
5/12/2022,19:00,15.29,8.45,11.8,2.47,4.44,0.01,25600
5/12/2022,20:00,15.08,8.38,11.69,2.52,4.69,0.03,23600
5/12/2022,21:00,14.88,8.25,11.49,2.91,5.55,0.1,25100
5/12/2022,22:00,14.53,8.06,11.14,2.8,5.3,0.05,28500
5/12/2022,23:00,14.55,8.04,11.12,2.67,5.96,0.15,29800
5/13/2022,0:00,14.62,8.07,11.19,2.8,6.38,0.13,27800
5/13/2022,1:00,14.58,8.04,11.1,2.43,5.35,0.12,19700
5/13/2022,2:00,14.52,7.99,11.01,2.56,6.95,0.17,21400
5/13/2022,3:00,14.56,8.02,11.09,2.65,5.73,0.07,24100
5/13/2022,4:00,14.71,8.13,11.28,2.39,5.55,0.06,17000
5/13/2022,5:00,14.78,8.1,11.17,2.12,5.72,0.11,16000
5/13/2022,6:00,14.84,8.06,11.1,3.47,4.73,0.05,17400
5/13/2022,7:00,14.98,8.11,11.18,2.64,4.18,0,21000
5/13/2022,8:00,15.18,8.2,11.34,2.69,2.89,0.07,19100
5/13/2022,9:00,15.29,8.26,11.47,2.23,3.1,0.03,21000
5/13/2022,10:00,15.14,8.23,11.41,2.49,3.26,-0.04,21400
5/13/2022,11:00,15.13,8.34,11.62,2.29,3.46,0,20100
5/13/2022,12:00,15.37,8.52,11.98,2.59,3.36,0.01,22400
5/13/2022,13:00,15.54,8.61,12.13,2.57,2.96,0.04,23700
5/13/2022,14:00,16.48,8.62,12.09,2.45,2.73,0.06,23000
5/13/2022,15:00,16.11,8.71,12.31,2.58,3.43,0.07,22400
5/13/2022,16:00,16.38,8.72,12.38,2.64,3.5,0.03,24100
5/13/2022,17:00,16,8.82,12.56,2.63,4.49,0.09,25000
5/13/2022,18:00,16.69,8.75,12.39,2.54,3.65,0.04,25000
5/13/2022,19:00,16.54,8.69,12.3,2.56,3.92,0.06,24200
5/13/2022,20:00,16.7,8.64,12.1,2.51,3.86,-0.01,23900
5/13/2022,21:00,16.78,8.58,11.95,2.43,5.22,0.05,20700
5/13/2022,22:00,16.72,8.54,11.89,2.37,4.06,0.1,18900
5/13/2022,23:00,16.65,8.45,11.68,2.37,4.16,0.08,18800
5/14/2022,0:00,16.63,8.37,11.52,2.27,4.07,0.06,18400
5/14/2022,1:00,16.65,8.31,11.4,2.3,3.62,0.09,16500
5/14/2022,2:00,16.68,8.36,11.49,2.15,3.9,0.09,16800
5/14/2022,3:00,16.75,8.38,11.44,2.28,5.56,0.12,16400
5/14/2022,4:00,16.78,8.37,11.41,2.39,3.79,0.15,17200
5/14/2022,5:00,16.84,8.32,11.35,2.31,3.77,0.09,18000
5/14/2022,6:00,17.04,8.32,11.27,2.31,4,0.07,16600
5/14/2022,7:00,17.13,8.3,11.23,2.28,2.99,0.05,16300
5/14/2022,8:00,17.3,8.36,11.3,2.29,2.91,0.03,16500
5/14/2022,9:00,17.61,8.41,11.39,2.29,2.47,0.02,16900
